isoelectric_point,molecular_weight_da,product_conc_mg_ml,ph,kcl_conc,ps50_conc,llysine_conc,ps80_conc,mannitol_conc,citrate_conc,succinate_conc,fructose_conc,tm_c,protein_format_doppelmab,protein_format_igg3,protein_format_igg4,protein_format_knob_hole,protein_format_nano_mb
5.772,421360.71,34.56,5.5,0.0,0.0,67.5,0.4,135.0,0.0,15.0,0.0,153.62279999999998,0.0,0.0,0.0,1.0,0.0
6.232200000000001,455066.79,518.4,4.5,135.0,0.4,0.0,0.0,0.0,0.0,15.0,0.0,142.31158730072,0.0,0.0,1.0,0.0,0.0
6.411600000000001,404683.89,172.8,4.5,0.0,0.4,67.5,0.0,0.0,0.0,15.0,135.0,161.735786665848,0.0,0.0,1.0,0.0,0.0
5.9124,272510.88,103.68,4.5,67.5,0.4,67.5,0.0,0.0,0.0,15.0,0.0,135.735163805192,0.0,0.0,0.0,1.0,0.0
6.008475652173914,386148.75,518.4,5.0,0.0,0.4,0.0,0.0,0.0,15.0,0.0,270.0,158.69853333415202,0.0,1.0,0.0,0.0,0.0
5.499,389595.72,518.4,4.5,135.0,0.4,0.0,0.0,0.0,0.0,15.0,0.0,157.97729396808,0.0,1.0,0.0,0.0,0.0
6.411600000000001,404683.89,34.56,4.5,0.0,0.4,67.5,0.0,135.0,0.0,15.0,0.0,160.728826665848,0.0,0.0,1.0,0.0,0.0
6.162000000000001,391603.56,172.8,5.0,0.0,0.4,67.5,0.0,0.0,15.0,0.0,135.0,147.8288793808,0.0,1.0,0.0,0.0,0.0
6.411600000000001,404683.89,103.68,5.0,0.0,0.4,0.0,0.0,0.0,0.0,15.0,270.0,172.550373334152,0.0,0.0,1.0,0.0,0.0
6.232200000000001,455066.79,345.6,4.5,67.5,0.4,67.5,0.0,0.0,0.0,15.0,0.0,142.77273976168,0.0,0.0,1.0,0.0,0.0
6.162000000000001,391603.56,345.6,5.0,0.0,0.4,0.0,0.0,0.0,0.0,15.0,270.0,158.869094183752,0.0,1.0,0.0,0.0,0.0
6.411600000000001,404683.89,34.56,6.0,0.0,0.4,67.5,0.0,135.0,15.0,0.0,0.0,167.85941333415198,0.0,0.0,1.0,0.0,0.0
5.982600000000001,386626.68,172.8,5.0,0.0,0.4,67.5,0.0,0.0,0.0,15.0,135.0,158.01837518536,0.0,1.0,0.0,0.0,0.0
5.772,421360.71,172.8,5.0,0.0,0.0,67.5,0.4,135.0,15.0,0.0,0.0,147.31088,0.0,0.0,0.0,1.0,0.0
6.162000000000001,391603.56,345.6,6.0,0.0,0.4,0.0,0.0,270.0,15.0,0.0,0.0,162.430774904,0.0,1.0,0.0,0.0,0.0
6.232200000000001,455066.79,345.6,5.0,67.5,0.4,67.5,0.0,0.0,15.0,0.0,0.0,147.73504905512,0.0,0.0,1.0,0.0,0.0
5.499,389595.72,172.8,5.0,67.5,0.4,67.5,0.0,0.0,15.0,0.0,0.0,154.491818742808,0.0,1.0,0.0,0.0,0.0
5.982600000000001,386626.68,172.8,5.0,0.0,0.4,0.0,0.0,270.0,15.0,0.0,0.0,158.70600532856,0.0,1.0,0.0,0.0,0.0
6.232200000000001,455066.79,518.4,7.0,135.0,0.4,0.0,0.0,0.0,15.0,0.0,0.0,157.89311589431998,0.0,0.0,1.0,0.0,0.0
5.8422,388669.23,172.8,7.0,0.0,0.4,67.5,0.0,0.0,15.0,0.0,135.0,176.987546665848,0.0,1.0,0.0,0.0,0.0
6.008475652173914,386148.75,518.4,4.5,0.0,0.4,0.0,0.0,270.0,0.0,15.0,0.0,157.396853334152,0.0,1.0,0.0,0.0,0.0
6.162000000000001,391603.56,518.4,5.5,0.0,0.4,67.5,0.0,135.0,0.0,15.0,0.0,151.52013096640002,0.0,1.0,0.0,0.0,0.0
6.3024,384763.02,172.8,7.0,0.0,0.4,67.5,0.0,0.0,15.0,0.0,135.0,173.033088026072,0.0,1.0,0.0,0.0,0.0
5.545800000000001,524743.11,172.8,7.0,67.5,0.4,67.5,0.0,0.0,15.0,0.0,0.0,149.816,1.0,0.0,0.0,0.0,0.0
6.232200000000001,455066.79,172.8,6.0,0.0,0.4,0.0,0.0,135.0,15.0,0.0,135.0,170.708362174088,0.0,0.0,1.0,0.0,0.0
5.8422,388669.23,345.6,5.0,0.0,0.4,0.0,0.0,0.0,0.0,15.0,270.0,181.9896,0.0,1.0,0.0,0.0,0.0
5.545800000000001,524743.11,518.4,5.0,0.0,0.4,67.5,0.0,135.0,15.0,0.0,0.0,146.2548,1.0,0.0,0.0,0.0,0.0
5.7642,241517.52,172.8,4.5,135.0,0.0,0.0,0.4,0.0,0.0,15.0,0.0,145.55074666584798,0.0,0.0,0.0,0.0,1.0
5.7642,241517.52,172.8,5.0,0.0,0.0,67.5,0.4,0.0,0.0,15.0,135.0,155.44024,0.0,0.0,0.0,0.0,1.0
6.232200000000001,455066.79,518.4,7.0,0.0,0.4,67.5,0.0,135.0,15.0,0.0,0.0,155.12954460416,0.0,0.0,1.0,0.0,0.0
5.7642,241517.52,293.76,4.5,0.0,0.0,135.0,0.4,0.0,0.0,15.0,0.0,149.259306665848,0.0,0.0,0.0,0.0,1.0
6.008475652173914,386148.75,172.8,5.5,0.0,0.4,67.5,0.0,135.0,0.0,15.0,0.0,163.847946665848,0.0,1.0,0.0,0.0,0.0
6.411600000000001,404683.89,34.56,7.0,0.0,0.4,0.0,0.0,270.0,15.0,0.0,0.0,172.62405333415202,0.0,0.0,1.0,0.0,0.0
5.7642,241517.52,172.8,5.5,0.0,0.0,0.0,0.4,270.0,0.0,15.0,0.0,165.14144,0.0,0.0,0.0,0.0,1.0
6.411600000000001,404683.89,34.56,5.0,0.0,0.4,0.0,0.0,135.0,15.0,0.0,135.0,166.107466665848,0.0,0.0,1.0,0.0,0.0
6.3024,384763.02,345.6,5.0,0.0,0.4,67.5,0.0,135.0,15.0,0.0,0.0,157.21152738832,0.0,1.0,0.0,0.0,0.0
5.545800000000001,524743.11,172.8,5.5,0.0,0.4,67.5,0.0,135.0,0.0,15.0,0.0,148.669866665848,1.0,0.0,0.0,0.0,0.0
